geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Las Animas city, Colorado",8,,43660,,,10843660,23456,4999
"Firestone town, Colorado",8,,26600,,,10826600,100288,4329
"Johnstown town, Colorado",8,,39855,,,10839855,100025,8094
"Lochbuie town, Colorado",8,,45530,,,10845530,71304,6408
"Nunn town, Colorado",8,,55045,,,10855045,62583,16562
"Greenwood Village city, Colorado",8,,33035,,,10833035,129035,9010
"Kit Carson town, Colorado",8,,41010,,,10841010,49091,20059
"Georgetown town, Colorado",8,,29735,,,10829735,54083,10108
"Center town, Colorado",8,,12855,,,10812855,32250,11844
"Elizabeth town, Colorado",8,,23740,,,10823740,65489,6841
"Fraser town, Colorado",8,,28305,,,10828305,56083,10839
"Two Buttes town, Colorado",8,,79270,,,10879270,20000,8362
"Lamar city, Colorado",8,,43110,,,10843110,40826,3138
"Colorado City CDP, Colorado",8,,15935,,,10815935,44975,22195
"Frisco town, Colorado",8,,28690,,,10828690,75256,14859
"Montezuma town, Colorado",8,,51690,,,10851690,,
"Sanford town, Colorado",8,,67830,,,10867830,44083,5480
"Gold Hill CDP, Colorado",8,,30945,,,10830945,,
"Lyons town, Colorado",8,,47070,,,10847070,103533,10832
"Calhan town, Colorado",8,,11260,,,10811260,53500,7432
"Erie town, Colorado",8,,24950,,,10824950,119555,4646
"Greeley city, Colorado",8,,32155,,,10832155,57586,1981
"Keenesburg town, Colorado",8,,40185,,,10840185,75474,9929
"Thornton city, Colorado",8,,77290,,,10877290,79411,1623
"Alamosa city, Colorado",8,,1090,,,10801090,35085,3656
"Towaoc CDP, Colorado",8,,78280,,,10878280,25282,7358
"Del Norte town, Colorado",8,,19795,,,10819795,33300,3154
"Steamboat Springs city, Colorado",8,,73825,,,10873825,77419,6900
"Julesburg town, Colorado",8,,39965,,,10839965,41442,12273
"Ovid town, Colorado",8,,56475,,,10856475,24375,3885
"Sedgwick town, Colorado",8,,68930,,,10868930,31250,14910
"Silverthorne town, Colorado",8,,70525,,,10870525,73938,14126
"Kiowa town, Colorado",8,,40790,,,10840790,49943,6776
"Ponderosa Park CDP, Colorado",8,,60655,,,10860655,106959,26821
"Lakewood city, Colorado",8,,43000,,,10843000,66740,1518
"West Pleasant View CDP, Colorado",8,,84042,,,10884042,71563,25895
"Crook town, Colorado",8,,18640,,,10818640,42222,19740
"Eckley town, Colorado",8,,23025,,,10823025,44028,12890
"Yuma city, Colorado",8,,86750,,,10886750,49113,5575
"Cheyenne Wells town, Colorado",8,,14175,,,10814175,45917,7563
"Downieville-Lawson-Dumont CDP, Colorado",8,,21390,,,10821390,46010,26145
"Empire town, Colorado",8,,24620,,,10824620,46250,8386
"Aristocrat Ranchettes CDP, Colorado",8,,3015,,,10803015,54226,11554
"Frederick town, Colorado",8,,28360,,,10828360,105827,5380
"Gilcrest town, Colorado",8,,29955,,,10829955,62917,19052
"Hudson town, Colorado",8,,37820,,,10837820,64803,11471
"Milliken town, Colorado",8,,50480,,,10850480,77589,14812
"Platteville town, Colorado",8,,60160,,,10860160,69583,11985
"Poncha Springs town, Colorado",8,,60600,,,10860600,38021,15999
"Englewood city, Colorado",8,,24785,,,10824785,59774,4056
"Fort Garland CDP, Colorado",8,,27535,,,10827535,43750,9211
"Blanca town, Colorado",8,,7190,,,10807190,47417,12296
"San Luis town, Colorado",8,,68105,,,10868105,23750,6697
"Cheraw town, Colorado",8,,13460,,,10813460,46875,11374
"Fowler town, Colorado",8,,27975,,,10827975,34609,9582
"Haxtun town, Colorado",8,,34960,,,10834960,37054,10371
"Holyoke city, Colorado",8,,37270,,,10837270,51406,5460
"Hartman town, Colorado",8,,34520,,,10834520,27500,21620
"Beulah Valley CDP, Colorado",8,,6602,,,10806602,70417,32596
"Crestone town, Colorado",8,,18420,,,10818420,,
"Franktown CDP, Colorado",8,,28250,,,10828250,81607,60452
"Crawford town, Colorado",8,,17925,,,10817925,35000,22388
"Denver city, Colorado",8,,20000,,,10820000,68592,1281
"Branson town, Colorado",8,,8345,,,10808345,31875,5232
"Tabernash CDP, Colorado",8,,76190,,,10876190,85931,29726
"Fort Morgan city, Colorado",8,,27810,,,10827810,50823,4656
"Gunnison city, Colorado",8,,33640,,,10833640,40893,10266
"Red Feather Lakes CDP, Colorado",8,,63320,,,10863320,56591,20646
"Victor city, Colorado",8,,80865,,,10880865,43125,11894
"Eads town, Colorado",8,,22145,,,10822145,39457,4578
"Fruitvale CDP, Colorado",8,,28800,,,10828800,63509,4869
"Cortez city, Colorado",8,,17375,,,10817375,42271,7639
"Montrose city, Colorado",8,,51745,,,10851745,46250,4963
"Eldora CDP, Colorado",8,,23575,,,10823575,,
"Bow Mar town, Colorado",8,,8070,,,10808070,188750,29714
"Hugo town, Colorado",8,,37875,,,10837875,50625,10734
"Alamosa East CDP, Colorado",8,,1145,,,10801145,54150,52526
"Log Lane Village town, Colorado",8,,45695,,,10845695,45929,7418
"Ridgway town, Colorado",8,,64200,,,10864200,53235,22933
"Paoli town, Colorado",8,,57245,,,10857245,,
"Aspen city, Colorado",8,,3620,,,10803620,78292,9511
"Basalt town, Colorado",8,,4935,,,10804935,81038,13016
"South Fork town, Colorado",8,,72395,,,10872395,52031,18559
"Yampa town, Colorado",8,,86475,,,10886475,53125,16231
"Dillon town, Colorado",8,,20440,,,10820440,67875,27657
"Golden city, Colorado",8,,30835,,,10830835,72349,6009
"Fleming town, Colorado",8,,26875,,,10826875,42895,11665
"Iliff town, Colorado",8,,38590,,,10838590,40909,16493
"Vilas town, Colorado",8,,81030,,,10881030,41250,30501
