geoname,state,county,place,tract,bg,geonum,b19013001,b19013_moe001
"Block Group 3, Census Tract 94.07, Adams County, Colorado",8,1,,9407,3,1080010094073,61759,15327
"Block Group 2, Census Tract 94.07, Adams County, Colorado",8,1,,9407,2,1080010094072,69408,30546
"Block Group 2, Census Tract 96.04, Adams County, Colorado",8,1,,9604,2,1080010096042,49864,4348
"Block Group 1, Census Tract 83.08, Adams County, Colorado",8,1,,8308,1,1080010083081,65333,10510
"Block Group 2, Census Tract 83.08, Adams County, Colorado",8,1,,8308,2,1080010083082,47222,23351
"Block Group 3, Census Tract 85.08, Adams County, Colorado",8,1,,8508,3,1080010085083,68083,13991
"Block Group 2, Census Tract 85.08, Adams County, Colorado",8,1,,8508,2,1080010085082,100938,21994
"Block Group 3, Census Tract 88.02, Adams County, Colorado",8,1,,8802,3,1080010088023,35722,9233
"Block Group 2, Census Tract 88.02, Adams County, Colorado",8,1,,8802,2,1080010088022,95024,22331
"Block Group 1, Census Tract 91.04, Adams County, Colorado",8,1,,9104,1,1080010091041,58750,8818
"Block Group 1, Census Tract 93.19, Adams County, Colorado",8,1,,9319,1,1080010093191,29276,10241
"Block Group 2, Census Tract 93.19, Adams County, Colorado",8,1,,9319,2,1080010093192,51316,14814
"Block Group 1, Census Tract 94.10, Adams County, Colorado",8,1,,9410,1,1080010094101,116188,17485
"Block Group 2, Census Tract 93.10, Adams County, Colorado",8,1,,9310,2,1080010093102,71731,38787
"Block Group 2, Census Tract 85.05, Adams County, Colorado",8,1,,8505,2,1080010085052,52078,13241
"Block Group 6, Census Tract 85.05, Adams County, Colorado",8,1,,8505,6,1080010085056,83750,57464
"Block Group 4, Census Tract 85.05, Adams County, Colorado",8,1,,8505,4,1080010085054,55387,10005
"Block Group 2, Census Tract 85.23, Adams County, Colorado",8,1,,8523,2,1080010085232,122645,11047
"Block Group 1, Census Tract 85.23, Adams County, Colorado",8,1,,8523,1,1080010085231,116845,72741
"Block Group 2, Census Tract 93.04, Adams County, Colorado",8,1,,9304,2,1080010093042,65413,16190
"Block Group 5, Census Tract 93.04, Adams County, Colorado",8,1,,9304,5,1080010093045,50656,5948
"Block Group 3, Census Tract 93.04, Adams County, Colorado",8,1,,9304,3,1080010093043,54978,8540
"Block Group 3, Census Tract 92.03, Adams County, Colorado",8,1,,9203,3,1080010092033,42443,9598
"Block Group 2, Census Tract 92.03, Adams County, Colorado",8,1,,9203,2,1080010092032,53831,16278
"Block Group 3, Census Tract 93.19, Adams County, Colorado",8,1,,9319,3,1080010093193,39271,6059
"Block Group 5, Census Tract 96.03, Adams County, Colorado",8,1,,9603,5,1080010096035,31831,13023
"Block Group 1, Census Tract 85.47, Adams County, Colorado",8,1,,8547,1,1080010085471,82740,9167
"Block Group 2, Census Tract 85.47, Adams County, Colorado",8,1,,8547,2,1080010085472,84271,8648
"Block Group 1, Census Tract 85.43, Adams County, Colorado",8,1,,8543,1,1080010085431,108214,13974
"Block Group 3, Census Tract 85.43, Adams County, Colorado",8,1,,8543,3,1080010085433,57553,39063
"Block Group 2, Census Tract 85.43, Adams County, Colorado",8,1,,8543,2,1080010085432,129471,25278
"Block Group 4, Census Tract 85.43, Adams County, Colorado",8,1,,8543,4,1080010085434,63393,34848
"Block Group 2, Census Tract 85.45, Adams County, Colorado",8,1,,8545,2,1080010085452,115156,16437
"Block Group 5, Census Tract 85.45, Adams County, Colorado",8,1,,8545,5,1080010085455,109717,8551
"Block Group 1, Census Tract 85.45, Adams County, Colorado",8,1,,8545,1,1080010085451,106250,7829
"Block Group 1, Census Tract 95.01, Adams County, Colorado",8,1,,9501,1,1080010095011,39740,25064
"Block Group 2, Census Tract 95.01, Adams County, Colorado",8,1,,9501,2,1080010095012,61163,11467
"Block Group 3, Census Tract 85.29, Adams County, Colorado",8,1,,8529,3,1080010085293,60500,11140
"Block Group 1, Census Tract 85.29, Adams County, Colorado",8,1,,8529,1,1080010085291,80341,23174
"Block Group 2, Census Tract 92.02, Adams County, Colorado",8,1,,9202,2,1080010092022,64837,23950
"Block Group 3, Census Tract 92.02, Adams County, Colorado",8,1,,9202,3,1080010092023,68059,25612
"Block Group 2, Census Tract 93.08, Adams County, Colorado",8,1,,9308,2,1080010093082,67750,25151
"Block Group 4, Census Tract 93.08, Adams County, Colorado",8,1,,9308,4,1080010093084,48153,12377
"Block Group 2, Census Tract 93.09, Adams County, Colorado",8,1,,9309,2,1080010093092,51815,44489
"Block Group 1, Census Tract 94.09, Adams County, Colorado",8,1,,9409,1,1080010094091,130815,34954
"Block Group 1, Census Tract 94.11, Adams County, Colorado",8,1,,9411,1,1080010094111,113164,18441
"Block Group 3, Census Tract 95.02, Adams County, Colorado",8,1,,9502,3,1080010095023,106613,18044
"Block Group 1, Census Tract 95.02, Adams County, Colorado",8,1,,9502,1,1080010095021,68466,20129
"Block Group 3, Census Tract 85.26, Adams County, Colorado",8,1,,8526,3,1080010085263,51964,32573
"Block Group 4, Census Tract 85.26, Adams County, Colorado",8,1,,8526,4,1080010085264,135982,27530
"Block Group 1, Census Tract 85.26, Adams County, Colorado",8,1,,8526,1,1080010085261,85205,23028
"Block Group 3, Census Tract 86.06, Adams County, Colorado",8,1,,8606,3,1080010086063,56472,11529
"Block Group 2, Census Tract 86.06, Adams County, Colorado",8,1,,8606,2,1080010086062,70878,8487
"Block Group 2, Census Tract 87.06, Adams County, Colorado",8,1,,8706,2,1080010087062,53938,7009
