geoname,state,county,place,tract,bg,geonum,b25077001,b25077_moe001
"Census Tract 9803, Fremont County, Colorado",8,43,,980300,,108043980300,,
"Census Tract 9802, Fremont County, Colorado",8,43,,980200,,108043980200,,
"Census Tract 9619, Lake County, Colorado",8,65,,961900,,108065961900,,
"Census Tract 9726, Costilla County, Colorado",8,23,,972600,,108023972600,140300,25889
"Census Tract 9727, Costilla County, Colorado",8,23,,972700,,108023972700,105200,14160
"Census Tract 19.01, Denver County, Colorado",8,31,,1901,,108031001901,347000,74587
"Census Tract 19.02, Denver County, Colorado",8,31,,1902,,108031001902,500000,175332
"Census Tract 41.06, Denver County, Colorado",8,31,,4106,,108031004106,603200,20129
"Census Tract 41.07, Denver County, Colorado",8,31,,4107,,108031004107,573600,25249
"Census Tract 45.04, Denver County, Colorado",8,31,,4504,,108031004504,202500,29829
"Census Tract 45.05, Denver County, Colorado",8,31,,4505,,108031004505,205800,30078
"Census Tract 45.06, Denver County, Colorado",8,31,,4506,,108031004506,235800,28723
"Census Tract 83.86, Denver County, Colorado",8,31,,8386,,108031008386,253900,27430
"Census Tract 83.87, Denver County, Colorado",8,31,,8387,,108031008387,252300,20073
"Census Tract 83.88, Denver County, Colorado",8,31,,8388,,108031008388,278900,19998
"Census Tract 83.89, Denver County, Colorado",8,31,,8389,,108031008389,329700,11105
"Census Tract 83.90, Denver County, Colorado",8,31,,8390,,108031008390,282700,17525
"Census Tract 45.11, El Paso County, Colorado",8,41,,4511,,108041004511,222200,10810
"Census Tract 46.01, El Paso County, Colorado",8,41,,4601,,108041004601,246200,15484
"Census Tract 46.02, El Paso County, Colorado",8,41,,4602,,108041004602,223400,20199
"Census Tract 46.03, El Paso County, Colorado",8,41,,4603,,108041004603,266500,18493
"Census Tract 47.05, El Paso County, Colorado",8,41,,4705,,108041004705,268200,12312
"Census Tract 47.06, El Paso County, Colorado",8,41,,4706,,108041004706,296400,11161
"Census Tract 51.05, El Paso County, Colorado",8,41,,5105,,108041005105,261600,15330
"Census Tract 51.06, El Paso County, Colorado",8,41,,5106,,108041005106,273300,9323
"Census Tract 51.07, El Paso County, Colorado",8,41,,5107,,108041005107,306700,16856
"Census Tract 51.08, El Paso County, Colorado",8,41,,5108,,108041005108,244700,11918
"Census Tract 51.09, El Paso County, Colorado",8,41,,5109,,108041005109,264100,13251
"Census Tract 51.10, El Paso County, Colorado",8,41,,5110,,108041005110,193300,8343
"Census Tract 51.11, El Paso County, Colorado",8,41,,5111,,108041005111,240700,23736
"Census Tract 63.01, El Paso County, Colorado",8,41,,6301,,108041006301,194700,13309
"Census Tract 63.02, El Paso County, Colorado",8,41,,6302,,108041006302,224800,21874
"Census Tract 68.01, El Paso County, Colorado",8,41,,6801,,108041006801,244300,13907
"Census Tract 68.02, El Paso County, Colorado",8,41,,6802,,108041006802,271700,14102
"Census Tract 69.01, El Paso County, Colorado",8,41,,6901,,108041006901,311900,10175
"Census Tract 69.02, El Paso County, Colorado",8,41,,6902,,108041006902,286800,12372
"Census Tract 71.01, El Paso County, Colorado",8,41,,7101,,108041007101,449700,7821
"Census Tract 71.02, El Paso County, Colorado",8,41,,7102,,108041007102,406900,21842
