geoname,state,county,place,tract,bg,geonum,b25077001,b25077_moe001
"Stonewall Gap CDP, Colorado",8,,74275,,,10874275,253800,68544
"Sugarloaf CDP, Colorado",8,,74980,,,10874980,687500,80528
"Sunshine CDP, Colorado",8,,75585,,,10875585,709600,311544
"Tall Timber CDP, Colorado",8,,76325,,,10876325,663900,127598
"Towner CDP, Colorado",8,,78335,,,10878335,38300,22547
"Trail Side CDP, Colorado",8,,78345,,,10878345,271700,84685
"Twin Lakes CDP (Adams County), Colorado",8,,79100,,,10879100,306400,23498
"Twin Lakes CDP (Lake County), Colorado",8,,79105,,,10879105,333900,70526
"Upper Bear Creek CDP, Colorado",8,,79785,,,10879785,630900,135151
"Valdez CDP, Colorado",8,,80095,,,10880095,,
"Valmont CDP, Colorado",8,,80370,,,10880370,1087500,615695
"Vernon CDP, Colorado",8,,80755,,,10880755,,
"Vineland CDP, Colorado",8,,81305,,,10881305,120000,44522
"Weldona CDP, Colorado",8,,83175,,,10883175,85000,45055
"Weston CDP, Colorado",8,,84000,,,10884000,216700,54727
"Wolcott CDP, Colorado",8,,85760,,,10885760,,
"Woody Creek CDP, Colorado",8,,86200,,,10886200,,
"Holly town, Colorado",8,,37215,,,10837215,62900,19675
"Boone town, Colorado",8,,7795,,,10807795,64200,9831
"Pueblo West CDP, Colorado",8,,62220,,,10862220,221700,5965
"Hayden town, Colorado",8,,35070,,,10835070,209100,36879
"Bonanza town, Colorado",8,,7571,,,10807571,,
"Silverton town, Colorado",8,,70580,,,10870580,296200,72556
"Silver Cliff town, Colorado",8,,70250,,,10870250,144700,28907
"St. Mary's CDP, Colorado",8,,67142,,,10867142,235500,72537
"Pritchett town, Colorado",8,,61315,,,10861315,30500,14677
"Derby CDP, Colorado",8,,20275,,,10820275,187500,11311
"Todd Creek CDP, Colorado",8,,77757,,,10877757,608400,18839
"Welby CDP, Colorado",8,,83120,,,10883120,213500,12677
"Parachute town, Colorado",8,,57400,,,10857400,171100,15514
"Silt town, Colorado",8,,70195,,,10870195,277800,14749
"Castle Rock town, Colorado",8,,12415,,,10812415,422100,6818
"Berthoud town, Colorado",8,,6255,,,10806255,342800,22191
"Broomfield city, Colorado",8,,9280,,,10809280,413500,9649
"Kersey town, Colorado",8,,40515,,,10840515,224200,34577
"Northglenn city, Colorado",8,,54330,,,10854330,297900,9418
"Cherry Hills Village city, Colorado",8,,13845,,,10813845,1727100,113427
"Wiggins town, Colorado",8,,84770,,,10884770,198400,44585
"Wiley town, Colorado",8,,85045,,,10885045,100000,32339
"Silver Plume town, Colorado",8,,70360,,,10870360,257800,60772
"Moffat town, Colorado",8,,51250,,,10851250,,
"Saguache town, Colorado",8,,67005,,,10867005,133700,29000
"Breckenridge town, Colorado",8,,8400,,,10808400,474400,138707
"Wray city, Colorado",8,,86310,,,10886310,147400,26265
"Olney Springs town, Colorado",8,,55705,,,10855705,63300,10496
"La Jara town, Colorado",8,,42055,,,10842055,113500,33151
"Gypsum town, Colorado",8,,33695,,,10833695,364400,60715
"Grand Lake town, Colorado",8,,31715,,,10831715,293600,158177
"Ault town, Colorado",8,,3950,,,10803950,207600,26233
"Brighton city, Colorado",8,,8675,,,10808675,308900,10463
"Fort Lupton city, Colorado",8,,27700,,,10827700,240500,18471
"Windsor town, Colorado",8,,85485,,,10885485,406100,12522
"Grover town, Colorado",8,,33310,,,10833310,109000,13579
"Longmont city, Colorado",8,,45970,,,10845970,362500,4707
"Avondale CDP, Colorado",8,,4165,,,10804165,,
"Idaho Springs city, Colorado",8,,38370,,,10838370,250500,25924
"Campo town, Colorado",8,,11645,,,10811645,29400,5563
"Springfield town, Colorado",8,,73330,,,10873330,79200,13458
"Keystone CDP, Colorado",8,,40550,,,10840550,734700,378881
"Crowley town, Colorado",8,,18750,,,10818750,50300,27046
"Sugar City town, Colorado",8,,74815,,,10874815,58300,19032
"Romeo town, Colorado",8,,65740,,,10865740,72900,9021
"Eaton town, Colorado",8,,22860,,,10822860,286200,16819
"Evans city, Colorado",8,,25280,,,10825280,223500,8526
"Southern Ute CDP, Colorado",8,,72320,,,10872320,372200,232683
"Raymer (New Raymer) town, Colorado",8,,63045,,,10863045,112500,46097
"Mead town, Colorado",8,,49600,,,10849600,366200,17861
"Salida city, Colorado",8,,67280,,,10867280,328200,18327
"Arboles CDP, Colorado",8,,2905,,,10802905,201300,43543
"Columbine Valley town, Colorado",8,,16385,,,10816385,914500,60802
"Green Mountain Falls town, Colorado",8,,32650,,,10832650,277300,44809
"Antonito town, Colorado",8,,2355,,,10802355,84700,12200
"Norwood town, Colorado",8,,54880,,,10854880,195800,33615
"Cripple Creek city, Colorado",8,,18530,,,10818530,146800,26334
"La Veta town, Colorado",8,,44100,,,10844100,197600,31461
"Walsenburg city, Colorado",8,,82350,,,10882350,90400,24130
"Hillrose town, Colorado",8,,36610,,,10836610,107600,15940
"Manzanola town, Colorado",8,,48500,,,10848500,55200,7382
"Swink town, Colorado",8,,75970,,,10875970,122600,17486
"Granada town, Colorado",8,,31550,,,10831550,77800,7392
"La Salle town, Colorado",8,,43605,,,10843605,223500,12893
"Pierce town, Colorado",8,,59005,,,10859005,225900,36898
"Buena Vista town, Colorado",8,,10105,,,10810105,238700,57585
"Brush city, Colorado",8,,9555,,,10809555,157100,22553
"Aetna Estates CDP, Colorado",8,,620,,,10800620,48700,31472
"Watkins CDP, Colorado",8,,82900,,,10882900,504000,70853
"Phippsburg CDP, Colorado",8,,58785,,,10858785,187500,62389
"Castle Pines Village CDP, Colorado",8,,12393,,,10812393,1019800,70862
"Meeker town, Colorado",8,,49875,,,10849875,175400,26563
"Red Cliff town, Colorado",8,,63265,,,10863265,345300,36276
"Black Hawk city, Colorado",8,,7025,,,10807025,242300,144121
"Limon town, Colorado",8,,44980,,,10844980,121100,23080
"Laporte CDP, Colorado",8,,43220,,,10843220,315900,31909
"Fruita city, Colorado",8,,28745,,,10828745,223500,11382
"Dolores town, Colorado",8,,20770,,,10820770,160200,15475
"Olathe town, Colorado",8,,55540,,,10855540,133400,12649
"Colorado Springs city, Colorado",8,,16000,,,10816000,269800,2316
"Genesee CDP, Colorado",8,,29625,,,10829625,734300,46882
"Hooper town, Colorado",8,,37380,,,10837380,,
"Pueblo city, Colorado",8,,62000,,,10862000,141000,3632
"Rye town, Colorado",8,,66895,,,10866895,123500,65592
"Las Animas city, Colorado",8,,43660,,,10843660,52600,10120
"Firestone town, Colorado",8,,26600,,,10826600,354000,8724
"Johnstown town, Colorado",8,,39855,,,10839855,336100,15109
"Lochbuie town, Colorado",8,,45530,,,10845530,252100,18110
"Nunn town, Colorado",8,,55045,,,10855045,204300,36788
"Greenwood Village city, Colorado",8,,33035,,,10833035,927900,27548
"Kit Carson town, Colorado",8,,41010,,,10841010,59400,31686
"Georgetown town, Colorado",8,,29735,,,10829735,294900,25449
"Center town, Colorado",8,,12855,,,10812855,79100,9659
"Elizabeth town, Colorado",8,,23740,,,10823740,258500,23574
"Fraser town, Colorado",8,,28305,,,10828305,287000,31721
"Two Buttes town, Colorado",8,,79270,,,10879270,,
"Lamar city, Colorado",8,,43110,,,10843110,99400,13077
"Colorado City CDP, Colorado",8,,15935,,,10815935,188000,48316
"Frisco town, Colorado",8,,28690,,,10828690,545700,81622
"Montezuma town, Colorado",8,,51690,,,10851690,597200,117306
"Sanford town, Colorado",8,,67830,,,10867830,116400,11786
"Gold Hill CDP, Colorado",8,,30945,,,10830945,,
"Lyons town, Colorado",8,,47070,,,10847070,577200,34197
"Calhan town, Colorado",8,,11260,,,10811260,167400,16194
"Erie town, Colorado",8,,24950,,,10824950,468600,9263
"Greeley city, Colorado",8,,32155,,,10832155,247700,4725
"Keenesburg town, Colorado",8,,40185,,,10840185,234700,15352
"Thornton city, Colorado",8,,77290,,,10877290,322200,3944
"Alamosa city, Colorado",8,,1090,,,10801090,164600,10002
"Towaoc CDP, Colorado",8,,78280,,,10878280,163900,12398
"Del Norte town, Colorado",8,,19795,,,10819795,85600,6748
"Steamboat Springs city, Colorado",8,,73825,,,10873825,584200,41783
"Julesburg town, Colorado",8,,39965,,,10839965,85300,8704
"Ovid town, Colorado",8,,56475,,,10856475,67100,8424
"Sedgwick town, Colorado",8,,68930,,,10868930,70000,24938
"Silverthorne town, Colorado",8,,70525,,,10870525,586700,55708
"Kiowa town, Colorado",8,,40790,,,10840790,212500,39576
"Ponderosa Park CDP, Colorado",8,,60655,,,10860655,453600,33494
"Lakewood city, Colorado",8,,43000,,,10843000,364800,4044
"West Pleasant View CDP, Colorado",8,,84042,,,10884042,288700,37771
"Crook town, Colorado",8,,18640,,,10818640,106300,44397
"Eckley town, Colorado",8,,23025,,,10823025,61900,14065
"Yuma city, Colorado",8,,86750,,,10886750,191800,33029
"Cheyenne Wells town, Colorado",8,,14175,,,10814175,125500,28442
"Downieville-Lawson-Dumont CDP, Colorado",8,,21390,,,10821390,240500,106913
"Empire town, Colorado",8,,24620,,,10824620,223400,50072
"Aristocrat Ranchettes CDP, Colorado",8,,3015,,,10803015,265600,32953
"Frederick town, Colorado",8,,28360,,,10828360,363200,5612
"Gilcrest town, Colorado",8,,29955,,,10829955,189300,17212
"Hudson town, Colorado",8,,37820,,,10837820,244400,32795
"Milliken town, Colorado",8,,50480,,,10850480,275000,12337
"Platteville town, Colorado",8,,60160,,,10860160,243200,21198
"Poncha Springs town, Colorado",8,,60600,,,10860600,267000,31988
"Englewood city, Colorado",8,,24785,,,10824785,344400,7525
"Fort Garland CDP, Colorado",8,,27535,,,10827535,111300,46699
"Blanca town, Colorado",8,,7190,,,10807190,79300,43553
"San Luis town, Colorado",8,,68105,,,10868105,103300,26096
"Cheraw town, Colorado",8,,13460,,,10813460,70000,53797
"Fowler town, Colorado",8,,27975,,,10827975,87900,8371
"Haxtun town, Colorado",8,,34960,,,10834960,143800,18389
"Holyoke city, Colorado",8,,37270,,,10837270,143000,33352
"Hartman town, Colorado",8,,34520,,,10834520,,
"Beulah Valley CDP, Colorado",8,,6602,,,10806602,168800,114285
"Crestone town, Colorado",8,,18420,,,10818420,162500,34099
"Franktown CDP, Colorado",8,,28250,,,10828250,,
"Crawford town, Colorado",8,,17925,,,10817925,163800,16726
"Denver city, Colorado",8,,20000,,,10820000,390600,3946
"Branson town, Colorado",8,,8345,,,10808345,31600,6589
"Tabernash CDP, Colorado",8,,76190,,,10876190,,
"Fort Morgan city, Colorado",8,,27810,,,10827810,169900,9199
"Gunnison city, Colorado",8,,33640,,,10833640,244500,31242
"Red Feather Lakes CDP, Colorado",8,,63320,,,10863320,211400,61245
"Victor city, Colorado",8,,80865,,,10880865,114000,12497
"Eads town, Colorado",8,,22145,,,10822145,76200,8439
"Fruitvale CDP, Colorado",8,,28800,,,10828800,202600,8077
"Cortez city, Colorado",8,,17375,,,10817375,170300,11359
"Montrose city, Colorado",8,,51745,,,10851745,211700,11516
"Eldora CDP, Colorado",8,,23575,,,10823575,,
"Bow Mar town, Colorado",8,,8070,,,10808070,1191800,86754
"Hugo town, Colorado",8,,37875,,,10837875,94600,28624
"Alamosa East CDP, Colorado",8,,1145,,,10801145,157800,30628
"Log Lane Village town, Colorado",8,,45695,,,10845695,96200,9850
"Ridgway town, Colorado",8,,64200,,,10864200,401500,39829
"Paoli town, Colorado",8,,57245,,,10857245,95000,18589
"Aspen city, Colorado",8,,3620,,,10803620,636400,273377
"Basalt town, Colorado",8,,4935,,,10804935,648200,65226
"South Fork town, Colorado",8,,72395,,,10872395,292900,45240
"Yampa town, Colorado",8,,86475,,,10886475,224000,39768
"Dillon town, Colorado",8,,20440,,,10820440,558200,99243
"Golden city, Colorado",8,,30835,,,10830835,522200,27628
"Fleming town, Colorado",8,,26875,,,10826875,89400,17598
"Iliff town, Colorado",8,,38590,,,10838590,84600,31384
"Vilas town, Colorado",8,,81030,,,10881030,64600,5023
"Nederland town, Colorado",8,,53175,,,10853175,431500,50662
"Gleneagle CDP, Colorado",8,,30420,,,10830420,365300,12995
"Deer Trail town, Colorado",8,,19630,,,10819630,152100,81246
"Foxfield town, Colorado",8,,28105,,,10828105,663900,47506
"Glendale city, Colorado",8,,30340,,,10830340,265000,18837
"Walsh town, Colorado",8,,82460,,,10882460,54400,8601
"Ouray city, Colorado",8,,56420,,,10856420,374200,34797
"Snowmass Village town, Colorado",8,,71755,,,10871755,884400,478468
"Garden City town, Colorado",8,,29185,,,10829185,117200,25834
"Fairplay town, Colorado",8,,25610,,,10825610,186600,16930
"Brookside town, Colorado",8,,9115,,,10809115,172900,55731
"Dacono city, Colorado",8,,19080,,,10819080,266100,32159
"Severance town, Colorado",8,,69150,,,10869150,362500,13502
"Haswell town, Colorado",8,,34740,,,10834740,78800,24989
"Piedra CDP, Colorado",8,,58960,,,10858960,,
"Pine Brook Hill CDP, Colorado",8,,59240,,,10859240,925800,87873
"Portland CDP, Colorado",8,,60765,,,10860765,462500,55035
"Redstone CDP, Colorado",8,,63650,,,10863650,,
"Redvale CDP, Colorado",8,,63705,,,10863705,161300,82101
"Rock Creek Park CDP, Colorado",8,,64870,,,10864870,246400,168485
"Rollinsville CDP, Colorado",8,,65685,,,10865685,441100,17291
"Bethune town, Colorado",8,,6530,,,10806530,77500,23654
"Edgewater city, Colorado",8,,23135,,,10823135,408500,28603
"Merino town, Colorado",8,,50040,,,10850040,94500,27767
"Penrose CDP, Colorado",8,,58400,,,10858400,195000,22799
"Jamestown town, Colorado",8,,39195,,,10839195,358300,68159
"Arriba town, Colorado",8,,3235,,,10803235,59300,43602
"Pagosa Springs town, Colorado",8,,56860,,,10856860,227500,28037
"Byers CDP, Colorado",8,,10985,,,10810985,168800,31930
"La Junta city, Colorado",8,,42110,,,10842110,91400,7935
"Salt Creek CDP, Colorado",8,,67445,,,10867445,78700,27096
"Vail town, Colorado",8,,80040,,,10880040,773700,136537
"Craig city, Colorado",8,,17760,,,10817760,173600,9609
"Collbran town, Colorado",8,,15605,,,10815605,132800,15490
"Stratmoor CDP, Colorado",8,,74430,,,10874430,175600,23394
"Gunbarrel CDP, Colorado",8,,33502,,,10833502,531900,28040
"Columbine CDP, Colorado",8,,16110,,,10816110,402700,8522
"Mancos town, Colorado",8,,48115,,,10848115,216900,21081
"El Jebel CDP, Colorado",8,,23795,,,10823795,632800,59628
"Genoa town, Colorado",8,,29680,,,10829680,53300,38901
"Granby town, Colorado",8,,31605,,,10831605,238000,11354
"Lafayette city, Colorado",8,,41835,,,10841835,422000,15409
"Westminster city, Colorado",8,,83835,,,10883835,340900,4602
"Ramah town, Colorado",8,,62660,,,10862660,146400,31049
"Wheat Ridge city, Colorado",8,,84440,,,10884440,383900,12806
"Rico town, Colorado",8,,64090,,,10864090,304800,78373
"Leadville North CDP, Colorado",8,,44375,,,10844375,317100,56571
"Lake City town, Colorado",8,,42330,,,10842330,333300,29846
"Timnath town, Colorado",8,,77510,,,10877510,502400,55481
"Wellington town, Colorado",8,,83230,,,10883230,323500,13539
"Flagler town, Colorado",8,,26765,,,10826765,116900,17615
"Kim town, Colorado",8,,40570,,,10840570,,
"Grand Junction city, Colorado",8,,31660,,,10831660,237100,6702
"Redlands CDP, Colorado",8,,63375,,,10863375,309200,27219
"Carbondale town, Colorado",8,,12045,,,10812045,496300,59571
"Larkspur town, Colorado",8,,43550,,,10843550,,
"Louviers CDP, Colorado",8,,46410,,,10846410,243800,47612
"Parker town, Colorado",8,,57630,,,10857630,420000,5537
"Monte Vista city, Colorado",8,,51635,,,10851635,115100,25701
"Oak Creek town, Colorado",8,,55155,,,10855155,166500,36469
"Blue River town, Colorado",8,,7410,,,10807410,656000,51149
"Westcliffe town, Colorado",8,,83450,,,10883450,208300,51596
"Akron town, Colorado",8,,925,,,10800925,118300,18127
"Ordway town, Colorado",8,,56145,,,10856145,72600,11980
"Eagle town, Colorado",8,,22200,,,10822200,532800,67759
"Minturn town, Colorado",8,,50920,,,10850920,646300,83408
"Florence city, Colorado",8,,27040,,,10827040,136400,10523
"Hot Sulphur Springs town, Colorado",8,,37600,,,10837600,222500,23242
"Manitou Springs city, Colorado",8,,48445,,,10848445,365300,35502
"Coal Creek CDP, Colorado",8,,15302,,,10815302,393700,30089
"Sawpit town, Colorado",8,,68655,,,10868655,583300,63973
"Boulder city, Colorado",8,,7850,,,10807850,700000,16732
"Air Force Academy CDP, Colorado",8,,870,,,10800870,,
"Niwot CDP, Colorado",8,,53780,,,10853780,677600,76268
"Fort Carson CDP, Colorado",8,,27370,,,10827370,,
"Security-Widefield CDP, Colorado",8,,68847,,,10868847,211300,4863
"Aspen Park CDP, Colorado",8,,3730,,,10803730,434800,28333
"Manassa town, Colorado",8,,48060,,,10848060,97500,19478
"Woodmoor CDP, Colorado",8,,86117,,,10886117,481100,19441
"Padroni CDP, Colorado",8,,56695,,,10856695,,
"Meridian CDP, Colorado",8,,50012,,,10850012,479700,54189
"Cimarron Hills CDP, Colorado",8,,14587,,,10814587,197500,8710
"Lone Tree city, Colorado",8,,45955,,,10845955,634000,23289
"Arvada city, Colorado",8,,3455,,,10803455,384500,4390
"Rifle city, Colorado",8,,64255,,,10864255,246300,17541
"Sedalia CDP, Colorado",8,,68875,,,10868875,379400,110223
"Peetz town, Colorado",8,,58235,,,10858235,92500,28535
"Monument town, Colorado",8,,51800,,,10851800,381600,19859
"Palmer Lake town, Colorado",8,,57025,,,10857025,289800,31993
"East Pleasant View CDP, Colorado",8,,22575,,,10822575,394600,73344
"Evergreen CDP, Colorado",8,,25390,,,10825390,484500,17004
"Indian Hills CDP, Colorado",8,,38810,,,10838810,442000,80644
"Kittredge CDP, Colorado",8,,41065,,,10841065,605600,81412
"Morrison town, Colorado",8,,52075,,,10852075,541700,78938
"Dove Creek town, Colorado",8,,21265,,,10821265,91700,14610
"Sheridan Lake town, Colorado",8,,69700,,,10869700,32500,6710
"Bayfield town, Colorado",8,,5265,,,10805265,318100,18818
"Avon town, Colorado",8,,4110,,,10804110,477900,131586
"Edwards CDP, Colorado",8,,23300,,,10823300,682000,131614
"Rockvale town, Colorado",8,,64970,,,10864970,135900,22922
"Kremmling town, Colorado",8,,41560,,,10841560,212500,35357
"Mount Crested Butte town, Colorado",8,,52570,,,10852570,438000,75764
"Alpine CDP, Colorado",8,,1640,,,10801640,222100,46657
"Amherst CDP, Colorado",8,,1915,,,10801915,,
"Blende CDP, Colorado",8,,7245,,,10807245,153400,46897
"Altona CDP, Colorado",8,,1740,,,10801740,961500,178715
"Bark Ranch CDP, Colorado",8,,4620,,,10804620,442900,148044
"Bonanza Mountain Estates CDP, Colorado",8,,7580,,,10807580,459100,32220
"Brandon CDP, Colorado",8,,8290,,,10808290,,
"Brick Center CDP, Colorado",8,,8530,,,10808530,493800,140371
"Cathedral CDP, Colorado",8,,12450,,,10812450,268800,81482
"Blue Sky CDP, Colorado",8,,7420,,,10807420,443800,78661
"Capulin CDP, Colorado",8,,11975,,,10811975,,
"Catherine CDP, Colorado",8,,12460,,,10812460,,
"Cattle Creek CDP, Colorado",8,,12470,,,10812470,156900,145363
"Chacra CDP, Colorado",8,,12945,,,10812945,423300,69176
"Cherry Creek CDP, Colorado",8,,13590,,,10813590,628200,22167
"Coaldale CDP, Colorado",8,,15440,,,10815440,153100,26890
"Colona CDP, Colorado",8,,15825,,,10815825,,
"City of Creede town, Colorado",8,,14765,,,10814765,300000,58923
"Comanche Creek CDP, Colorado",8,,16465,,,10816465,371400,89593
"Conejos CDP, Colorado",8,,16715,,,10816715,,
"Copper Mountain CDP, Colorado",8,,17150,,,10817150,,
"Cotopaxi CDP, Colorado",8,,17485,,,10817485,,
"Crisman CDP, Colorado",8,,18585,,,10818585,,
"Dakota Ridge CDP, Colorado",8,,19150,,,10819150,373400,6316
"Divide CDP, Colorado",8,,20605,,,10820605,,
"Dotsero CDP, Colorado",8,,21155,,,10821155,265200,85153
"Dove Valley CDP, Colorado",8,,21330,,,10821330,305100,32647
"Elbert CDP, Colorado",8,,23520,,,10823520,165600,23895
"Ellicott CDP, Colorado",8,,24235,,,10824235,159900,14976
"El Moro CDP, Colorado",8,,24290,,,10824290,220000,61468
