geoname,state,county,place,tract,bg,geonum,b25077001,b25077_moe001
"Phillips County, Colorado",8,95,,,,108095,158500,16424
"Archuleta County, Colorado",8,7,,,,108007,314400,18654
"Denver County, Colorado",8,31,,,,108031,390600,3946
"Kiowa County, Colorado",8,61,,,,108061,86500,15729
"Huerfano County, Colorado",8,55,,,,108055,161600,15028
"Baca County, Colorado",8,9,,,,108009,83500,5429
"Gilpin County, Colorado",8,47,,,,108047,353400,19214
"Kit Carson County, Colorado",8,63,,,,108063,122400,23023
"Gunnison County, Colorado",8,51,,,,108051,367300,21901
"Mineral County, Colorado",8,79,,,,108079,308600,29343
"Ouray County, Colorado",8,91,,,,108091,449000,29667
"Sedgwick County, Colorado",8,115,,,,108115,97100,11188
"Weld County, Colorado",8,123,,,,108123,299000,3597
"Custer County, Colorado",8,27,,,,108027,281900,54447
"Costilla County, Colorado",8,23,,,,108023,113000,10467
"Douglas County, Colorado",8,35,,,,108035,468700,2769
"Lake County, Colorado",8,65,,,,108065,232100,22715
"La Plata County, Colorado",8,67,,,,108067,395600,10953
"Pitkin County, Colorado",8,97,,,,108097,615900,131466
"Rio Grande County, Colorado",8,105,,,,108105,172000,31962
"Bent County, Colorado",8,11,,,,108011,81000,5492
"Crowley County, Colorado",8,25,,,,108025,79400,10259
"San Juan County, Colorado",8,111,,,,108111,322400,59637
"Larimer County, Colorado",8,69,,,,108069,363800,3285
"Logan County, Colorado",8,75,,,,108075,157900,9503
"San Miguel County, Colorado",8,113,,,,108113,479300,32712
"Teller County, Colorado",8,119,,,,108119,292700,16432
"Elbert County, Colorado",8,39,,,,108039,463600,14403
"Las Animas County, Colorado",8,71,,,,108071,151100,9520
"Lincoln County, Colorado",8,73,,,,108073,147100,21864
"Summit County, Colorado",8,117,,,,108117,579600,30546
"Alamosa County, Colorado",8,3,,,,108003,157500,9163
"Delta County, Colorado",8,29,,,,108029,241500,17736
"Fremont County, Colorado",8,43,,,,108043,174000,5810
"Montrose County, Colorado",8,85,,,,108085,224400,6894
"Morgan County, Colorado",8,87,,,,108087,201200,10911
"Saguache County, Colorado",8,109,,,,108109,152700,12996
"Prowers County, Colorado",8,99,,,,108099,106100,10103
"Washington County, Colorado",8,121,,,,108121,151300,11500
"Grand County, Colorado",8,49,,,,108049,308200,35104
"Otero County, Colorado",8,89,,,,108089,94900,4724
"Broomfield County, Colorado",8,14,,,,108014,413500,9649
"Hinsdale County, Colorado",8,53,,,,108053,350000,29826
"Dolores County, Colorado",8,33,,,,108033,116600,26835
"Jackson County, Colorado",8,57,,,,108057,196700,40858
"Montezuma County, Colorado",8,83,,,,108083,222800,14449
"Boulder County, Colorado",8,13,,,,108013,497300,6119
"Yuma County, Colorado",8,125,,,,108125,191800,24731
"Routt County, Colorado",8,107,,,,108107,535300,35928
"Clear Creek County, Colorado",8,19,,,,108019,378300,24176
"Pueblo County, Colorado",8,101,,,,108101,164600,2443
"Park County, Colorado",8,93,,,,108093,327200,12216
"Mesa County, Colorado",8,77,,,,108077,227000,4298
"El Paso County, Colorado",8,41,,,,108041,275000,2049
"Arapahoe County, Colorado",8,5,,,,108005,358200,2430
"Chaffee County, Colorado",8,15,,,,108015,357800,13635
"Garfield County, Colorado",8,45,,,,108045,360600,11483
"Jefferson County, Colorado",8,59,,,,108059,397700,2319
"Rio Blanco County, Colorado",8,103,,,,108103,197100,23561
"Conejos County, Colorado",8,21,,,,108021,120500,7200
"Adams County, Colorado",8,1,,,,108001,307600,2476
"Eagle County, Colorado",8,37,,,,108037,562300,29902
"Moffat County, Colorado",8,81,,,,108081,182300,10982
"Cheyenne County, Colorado",8,17,,,,108017,108000,22377
