geoname,state,county,place,tract,bg,geonum,b25077001,b25077_moe001
"Block Group 1, Census Tract 17.07, Mesa County, Colorado",8,77,,1707,1,1080770017071,,
"Block Group 3, Census Tract 117.32, Jefferson County, Colorado",8,59,,11732,3,1080590117323,,
"Block Group 2, Census Tract 31.03, Pueblo County, Colorado",8,101,,3103,2,1081010031032,78700,27096
"Block Group 3, Census Tract 6, Pueblo County, Colorado",8,101,,600,3,1081010006003,107300,19558
"Block Group 1, Census Tract 6, Pueblo County, Colorado",8,101,,600,1,1081010006001,,
"Block Group 2, Census Tract 6, Pueblo County, Colorado",8,101,,600,2,1081010006002,109600,32674
"Block Group 2, Census Tract 15, Pueblo County, Colorado",8,101,,1500,2,1081010015002,158200,10579
"Block Group 1, Census Tract 15, Pueblo County, Colorado",8,101,,1500,1,1081010015001,116100,11768
"Block Group 1, Census Tract 20, Pueblo County, Colorado",8,101,,2000,1,1081010020001,81700,7522
"Block Group 3, Census Tract 20, Pueblo County, Colorado",8,101,,2000,3,1081010020003,104100,36489
"Block Group 4, Census Tract 20, Pueblo County, Colorado",8,101,,2000,4,1081010020004,113100,25667
"Block Group 2, Census Tract 20, Pueblo County, Colorado",8,101,,2000,2,1081010020002,68900,14847
"Block Group 2, Census Tract 28.07, Pueblo County, Colorado",8,101,,2807,2,1081010028072,172700,12229
"Block Group 3, Census Tract 28.07, Pueblo County, Colorado",8,101,,2807,3,1081010028073,190200,9337
"Block Group 2, Census Tract 28.08, Pueblo County, Colorado",8,101,,2808,2,1081010028082,280800,26858
"Block Group 1, Census Tract 28.08, Pueblo County, Colorado",8,101,,2808,1,1081010028081,289700,25761
"Block Group 2, Census Tract 12, Pueblo County, Colorado",8,101,,1200,2,1081010012002,79600,26149
"Block Group 2, Census Tract 1, Pueblo County, Colorado",8,101,,100,2,1081010001002,100700,29437
"Block Group 1, Census Tract 14, Pueblo County, Colorado",8,101,,1400,1,1081010014001,87200,11955
"Block Group 2, Census Tract 16, Pueblo County, Colorado",8,101,,1600,2,1081010016002,168800,12562
"Block Group 2, Census Tract 30.04, Pueblo County, Colorado",8,101,,3004,2,1081010030042,318500,50950
"Block Group 1, Census Tract 28.04, Pueblo County, Colorado",8,101,,2804,1,1081010028041,187000,49820
"Block Group 1, Census Tract 8, Pueblo County, Colorado",8,101,,800,1,1081010008001,83400,7971
"Block Group 2, Census Tract 8, Pueblo County, Colorado",8,101,,800,2,1081010008002,60900,8965
"Block Group 3, Census Tract 8, Pueblo County, Colorado",8,101,,800,3,1081010008003,74100,18240
"Block Group 1, Census Tract 9.04, Pueblo County, Colorado",8,101,,904,1,1081010009041,152000,25852
"Block Group 2, Census Tract 9.04, Pueblo County, Colorado",8,101,,904,2,1081010009042,121200,27346
"Block Group 4, Census Tract 10, Pueblo County, Colorado",8,101,,1000,4,1081010010004,97700,8557
"Block Group 1, Census Tract 10, Pueblo County, Colorado",8,101,,1000,1,1081010010001,87000,30829
"Block Group 2, Census Tract 10, Pueblo County, Colorado",8,101,,1000,2,1081010010002,88300,26114
"Block Group 3, Census Tract 10, Pueblo County, Colorado",8,101,,1000,3,1081010010003,101000,19970
"Block Group 2, Census Tract 18, Pueblo County, Colorado",8,101,,1800,2,1081010018002,104700,15847
"Block Group 1, Census Tract 18, Pueblo County, Colorado",8,101,,1800,1,1081010018001,114100,9852
"Block Group 3, Census Tract 18, Pueblo County, Colorado",8,101,,1800,3,1081010018003,113100,13265
"Block Group 1, Census Tract 3, Pueblo County, Colorado",8,101,,300,1,1081010003001,,
"Block Group 2, Census Tract 4, Pueblo County, Colorado",8,101,,400,2,1081010004002,132300,19541
"Block Group 1, Census Tract 30.01, Pueblo County, Colorado",8,101,,3001,1,1081010030011,89900,33141
"Block Group 2, Census Tract 24, Pueblo County, Colorado",8,101,,2400,2,1081010024002,100000,41621
"Block Group 3, Census Tract 27, Pueblo County, Colorado",8,101,,2700,3,1081010027003,158300,12081
"Block Group 5, Census Tract 27, Pueblo County, Colorado",8,101,,2700,5,1081010027005,148600,14938
"Block Group 2, Census Tract 27, Pueblo County, Colorado",8,101,,2700,2,1081010027002,120800,37584
"Block Group 1, Census Tract 27, Pueblo County, Colorado",8,101,,2700,1,1081010027001,111100,6327
"Block Group 1, Census Tract 28.06, Pueblo County, Colorado",8,101,,2806,1,1081010028061,188900,76116
"Block Group 2, Census Tract 29.01, Pueblo County, Colorado",8,101,,2901,2,1081010029012,113900,30352
"Block Group 3, Census Tract 32, Pueblo County, Colorado",8,101,,3200,3,1081010032003,165100,62812
"Block Group 2, Census Tract 32, Pueblo County, Colorado",8,101,,3200,2,1081010032002,162500,35858
"Block Group 3, Census Tract 17, Pueblo County, Colorado",8,101,,1700,3,1081010017003,186300,15070
"Block Group 2, Census Tract 17, Pueblo County, Colorado",8,101,,1700,2,1081010017002,164200,10157
